91,1546506,50458.042
90,1552464.2,48245.905
82,1437402.9,34588.143
84,1431856.5,35375.974
83,1432921,34562.082
87,1448178.1,40319.926
82,1435115.5,33596.079
85,1431261.5,36959.6
90,1448531.2,41968.641
95,1437207.8,42442.11
96,1440559,42391.428
76,1418600.5,42882.232
77,1422166.9,43692.524
78,1417874.5,46471.512
80,1418023.5,48574.287
83,1438725.2,63377.913
81,1440040.5,54707.912
82,1439928.4,59275.047
78,1338023.9,27300.684
76,1340219.1,25446.255
79,1334117.5,28489.294
81,1349459,29324.938
77,1339459.1,26370.48
82,1391242.8,39931.228
84,1401333.8,41858.545
86,1405974.4,42894.684
78,1399447.1,34994.16
79,1395098.8,37725.761
79,1395125.6,35922.469
80,1392869.4,37074.183
78,1398716.8,36271.15
70,1797154.5,41925.927
71,1794229.2,43240.191
70,1797581.8,41168.125
72,1791047.9,46248.344
77,1814330.2,70504.587
71,1793078,44206.152
73,1389018.6,64319.788
77,1391298.8,91435.738
75,1391981.2,74235.652
73,1387476.5,62687.744
74,1383584.8,66688.633
73,1386954.5,62685.539
78,1393624.5,102651.838
74,1348887.4,50531.752
75,1398043,34705.349
76,1401820.5,34034.372
75,1402887.9,35046.629
75,1396570.1,35257.561
77,1395472.2,39556.967
78,1469558,22094.069
79,1466748.1,23686.704
77,1466372.1,22796.202
68,1560963.6,26576.189
70,1557466.5,28397.295
67,1437588.2,16632.117
65,1436619.4,15692.231
68,1746131.5,45775.13
66,1748818.5,43298.047
71,1466156.5,11866.452
68,1468850.8,11276.974
70,1454288,25286.133
66,1533061.9,38425.963
86,1543201,38006.637
64,1673447.8,19162.329
95,1325845.6,46237.619
94,1332857.8,46036.109
90,1345054.6,28273.293
92,1345065.5,29967.362
91,1340372.8,28000.535
73,1185847,26872.475
75,1178312.6,29154.943
81,1608096.9,38993.687
80,1612116.2,38546.141
90,1596721.5,50911.279
88,1604130,48049.601
80,1620452.6,38171.922
79,1580671.5,37701.047
73,1260302.2,29167.858
82,1255450.4,43654.703
78,1258641.8,37927.28
73,1256730.2,28823.71
73,1245008.6,27593.7
80,1249442,39036.108
75,1239560.4,29994.758
74,1246717,29652.669
74,1595905.2,13799.409
81,1576458.2,20968.558
